transaction_id,product_id,customer_id,amount,timestamp
1,2,185,157.77,2021-06-06 05:56:10
2,79,14,357.3,2022-02-17 02:58:53
3,16,164,338.0,2022-12-15 23:28:13
4,87,25,278.68,2021-10-26 12:31:53
5,55,73,405.95,2021-01-18 09:00:14
6,90,184,245.87,2024-12-16 21:19:22
7,1,169,325.56,2020-12-28 00:44:27
8,40,7,293.07,2021-01-19 11:02:45
9,21,130,119.53,2023-07-10 02:43:10
10,11,156,331.28,2021-10-21 14:21:56
11,100,113,54.25,2021-01-24 17:32:31
12,43,10,415.24,2022-01-02 04:24:48
13,81,112,235.86,2023-08-21 16:47:41
14,90,171,331.65,2022-08-08 23:56:31
15,3,166,97.34,2022-12-10 22:24:35
16,2,156,485.94,2021-01-22 05:07:04
17,84,159,202.33,2022-02-01 18:42:53
18,30,48,460.25,2022-08-29 16:36:04
19,41,90,24.0,2024-04-18 18:25:59
20,10,144,58.17,2024-02-11 11:41:57
21,81,126,436.91,2024-11-02 14:11:59
22,36,117,389.81,2023-07-12 12:44:33
23,38,137,275.89,2020-09-01 08:32:39
24,14,34,72.37,2021-03-07 00:06:47
25,80,162,435.82,2024-09-03 15:22:02
26,41,121,274.33,2023-01-10 07:20:49
27,21,179,425.56,2024-05-28 01:58:00
28,19,130,414.75,2022-08-16 08:06:19
29,27,115,306.61,2024-01-03 09:33:03
30,55,72,268.97,2020-06-03 10:09:46
31,22,11,202.61,2023-12-02 15:13:46
32,100,110,445.28,2023-08-19 22:26:21
33,81,125,234.21,2023-05-06 06:07:04
34,63,25,322.48,2023-06-17 12:41:02
35,22,117,59.56,2024-07-16 10:38:15
36,38,57,355.82,2021-06-27 07:57:24
37,14,15,108.91,2024-10-20 01:56:58
38,78,48,230.02,2021-01-23 07:17:47
39,27,187,398.16,2024-04-20 02:56:04
40,20,66,132.67,2020-03-26 17:31:33
41,8,94,326.46,2023-05-19 07:30:58
42,85,153,208.73,2023-02-06 19:09:19
43,93,63,57.18,2024-01-24 11:45:26
44,73,48,469.52,2022-09-29 23:40:25
45,55,88,494.71,2022-02-10 20:33:16
46,3,119,394.05,2021-06-02 23:53:23
47,89,102,302.11,2020-11-28 18:40:39
48,3,8,390.39,2024-12-08 00:00:58
49,27,95,123.8,2023-07-24 14:21:21
50,89,46,433.76,2020-10-20 15:43:52
51,42,59,295.82,2024-02-17 10:22:26
52,68,49,39.71,2022-10-01 02:48:53
53,95,42,252.35,2022-03-18 05:08:59
54,4,184,443.91,2023-03-25 16:22:53
55,66,112,15.17,2024-12-21 23:28:23
56,58,70,115.22,2021-11-30 11:13:23
57,85,98,56.1,2021-09-06 05:24:33
58,3,143,172.92,2021-01-08 18:19:29
59,91,185,262.96,2021-02-08 16:13:20
60,91,117,46.51,2023-03-07 16:04:56
61,26,118,368.66,2022-03-31 02:29:44
62,55,137,115.05,2021-07-08 12:13:01
63,16,79,416.19,2022-10-19 22:33:10
64,81,142,318.8,2020-12-25 19:56:55
65,62,153,329.57,2020-03-29 14:19:01
66,82,98,100.72,2021-08-30 17:56:10
67,3,41,28.79,2024-12-04 11:20:46
68,58,28,344.46,2022-01-12 14:00:16
69,14,168,208.32,2022-12-31 07:14:43
70,52,29,27.45,2021-07-31 19:07:18
71,71,93,385.71,2021-11-23 11:39:21
72,97,199,252.09,2023-10-07 00:45:32
